category,clean_code,sources,percent_source,frequency,interview_id,percent_coverage,interview_name,interview_org,character_count
Motivations,Preserving biodiversity,16,84.21052632,56,13,11.75,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Motivations,Preserving biodiversity,16,84.21052632,56,14,1.26,Bre Sliker and Em Johnson,Community Environmental Council,27472
Motivations,Preserving biodiversity,16,84.21052632,56,15,10.33,Darryl York,Vandenberg Space Force Base,23003
Motivations,Preserving biodiversity,16,84.21052632,56,17,11.12,Brian Trautwein,Environmental Defense Center,26394
Motivations,Preserving biodiversity,16,84.21052632,56,18,0.54,Emma Chow,United States Department of Agriculture - Natural Resource Conservation Service,21756
Motivations,Private land preservation,11,57.89473684,26,01,1.48,Bill Leahy,LegacyWorks Group,25490
Motivations,Private land preservation,11,57.89473684,26,02,3,Christie Boser,United States Fish and Wildlife Service,29315
Motivations,Private land preservation,11,57.89473684,26,03,5,Doug Kern,Gaviota Coast Conservancy,19144
Motivations,Private land preservation,11,57.89473684,26,04,3.69,Mark Reynolds,The Nature Conservancy,17789
Motivations,Private land preservation,11,57.89473684,26,05,11.01,Michael Delbar,California Rangeland Trust,24727
Motivations,Private land preservation,11,57.89473684,26,07,1.16,Moe Gomez,South Coast Habitat Restoration,35299
Motivations,Private land preservation,11,57.89473684,26,08,3.14,Devin Rothman,The Land Trust For Santa Barbara,22750
Motivations,Private land preservation,11,57.89473684,26,13,2.4,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Motivations,Private land preservation,11,57.89473684,26,15,2.92,Darryl York,Vandenberg Space Force Base,23003
Motivations,Private land preservation,11,57.89473684,26,17,1.85,Brian Trautwein,Environmental Defense Center,26394
Motivations,Private land preservation,11,57.89473684,26,18,0.31,Emma Chow,United States Department of Agriculture - Natural Resource Conservation Service,21756
Motivations,Recreational benefit,5,26.31578947,10,03,3.23,Doug Kern,Gaviota Coast Conservancy,19144
Motivations,Recreational benefit,5,26.31578947,10,06,0.26,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Motivations,Recreational benefit,5,26.31578947,10,08,3.25,Devin Rothman,The Land Trust For Santa Barbara,22750
Motivations,Recreational benefit,5,26.31578947,10,13,0.66,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Motivations,Recreational benefit,5,26.31578947,10,17,0.55,Brian Trautwein,Environmental Defense Center,26394
Motivations,Regulatory compliance and mitigation,5,26.31578947,10,05,1.88,Michael Delbar,California Rangeland Trust,24727
Motivations,Regulatory compliance and mitigation,5,26.31578947,10,06,0.47,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Motivations,Regulatory compliance and mitigation,5,26.31578947,10,07,2.08,Moe Gomez,South Coast Habitat Restoration,35299
Motivations,Regulatory compliance and mitigation,5,26.31578947,10,15,5.4,Darryl York,Vandenberg Space Force Base,23003
Motivations,Regulatory compliance and mitigation,5,26.31578947,10,18,0.98,Emma Chow,United States Department of Agriculture - Natural Resource Conservation Service,21756
Motivations,Water resources conservation,1,5.263157895,1,NA,NA,NA,NA,NA
Priority Conservation Areas,Arroyo Hondo Preserve,2,10.52631579,2,07,0.04,Moe Gomez,South Coast Habitat Restoration,35299
Priority Conservation Areas,Arroyo Hondo Preserve,2,10.52631579,2,08,0.72,Devin Rothman,The Land Trust For Santa Barbara,22750
Priority Conservation Areas,Cat Canyon,1,5.263157895,1,17,0.07,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Chumash Marine Sanctuary,2,10.52631579,2,01,0.99,Bill Leahy,LegacyWorks Group,25490
Priority Conservation Areas,Chumash Marine Sanctuary,2,10.52631579,2,06,0.45,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Priority Conservation Areas,Coastal zones,3,15.78947368,4,01,2.73,Bill Leahy,LegacyWorks Group,25490
Priority Conservation Areas,Coastal zones,3,15.78947368,4,13,6.28,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Priority Conservation Areas,Coastal zones,3,15.78947368,4,17,0.15,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Cuyama Valley,2,10.52631579,2,08,1.73,Devin Rothman,The Land Trust For Santa Barbara,22750
Priority Conservation Areas,Cuyama Valley,2,10.52631579,2,18,0.11,Emma Chow,United States Department of Agriculture - Natural Resource Conservation Service,21756
Priority Conservation Areas,Elkat Canyon Resort,1,5.263157895,1,03,1.04,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,01,0.74,Bill Leahy,LegacyWorks Group,25490
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,02,1,Christie Boser,United States Fish and Wildlife Service,29315
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,03,0.84,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,06,5.61,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,07,0.84,Moe Gomez,South Coast Habitat Restoration,35299
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,08,0.33,Devin Rothman,The Land Trust For Santa Barbara,22750
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,13,1.47,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14,17,0.51,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Goleta Coast,1,5.263157895,2,17,0.36,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Guadalupe-Nipomo Dunes,1,5.263157895,2,02,2,Christie Boser,United States Fish and Wildlife Service,29315
Priority Conservation Areas,Hollister Ranch,2,10.52631579,3,03,1.6,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Hollister Ranch,2,10.52631579,3,13,1.47,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,02,1,Christie Boser,United States Fish and Wildlife Service,29315
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,03,1.59,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,04,2.92,Mark Reynolds,The Nature Conservancy,17789
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,06,0.45,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,13,3.21,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,15,2.77,Darryl York,Vandenberg Space Force Base,23003
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,16,2.28,Brian Holguin,Archeological Consultant,21468
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12,19,0.97,Teresa Romero,Native Coast Action Network,21630
Priority Conservation Areas,Los Padres National Forest,3,15.78947368,3,01,1.62,Bill Leahy,LegacyWorks Group,25490
Priority Conservation Areas,Los Padres National Forest,3,15.78947368,3,07,2.05,Moe Gomez,South Coast Habitat Restoration,35299
Priority Conservation Areas,Los Padres National Forest,3,15.78947368,3,17,0.19,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Point Conception,7,36.84210526,11,01,0.74,Bill Leahy,LegacyWorks Group,25490
Priority Conservation Areas,Point Conception,7,36.84210526,11,02,1,Christie Boser,United States Fish and Wildlife Service,29315
Priority Conservation Areas,Point Conception,7,36.84210526,11,03,1.18,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Point Conception,7,36.84210526,11,04,2.56,Mark Reynolds,The Nature Conservancy,17789
Priority Conservation Areas,Point Conception,7,36.84210526,11,06,0.57,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Priority Conservation Areas,Point Conception,7,36.84210526,11,13,7.28,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Priority Conservation Areas,Point Conception,7,36.84210526,11,15,0.56,Darryl York,Vandenberg Space Force Base,23003
Priority Conservation Areas,Point Sal,1,5.263157895,2,03,1.6,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Purisima Hills,1,5.263157895,1,08,0.58,Devin Rothman,The Land Trust For Santa Barbara,22750
Priority Conservation Areas,Santa Maria River,2,10.52631579,5,02,2,Christie Boser,United States Fish and Wildlife Service,29315
Priority Conservation Areas,Santa Maria River,2,10.52631579,5,10,0.74,Steph Wald,Creeklands Conservation,28115
Priority Conservation Areas,Santa Maria Valley,2,10.52631579,2,08,0.24,Devin Rothman,The Land Trust For Santa Barbara,22750
Priority Conservation Areas,Santa Maria Valley,2,10.52631579,2,17,0.12,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Santa Ynez River,4,21.05263158,4,02,1,Christie Boser,United States Fish and Wildlife Service,29315
Priority Conservation Areas,Santa Ynez River,4,21.05263158,4,03,1.06,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Santa Ynez River,4,21.05263158,4,06,0.57,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Priority Conservation Areas,Santa Ynez River,4,21.05263158,4,16,2.19,Brian Holguin,Archeological Consultant,21468
Priority Conservation Areas,Santa Ynez Valley,1,5.263157895,4,17,1.4,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Sedgwick Reserve,1,5.263157895,2,19,1.28,Teresa Romero,Native Coast Action Network,21630
Priority Conservation Areas,Sisquoc River Valley,1,5.263157895,1,17,0.21,Brian Trautwein,Environmental Defense Center,26394
Priority Conservation Areas,Tajiguas Landfill,1,5.263157895,1,03,2.01,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7,03,1.18,Doug Kern,Gaviota Coast Conservancy,19144
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7,07,0.19,Moe Gomez,South Coast Habitat Restoration,35299
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7,08,1.04,Devin Rothman,The Land Trust For Santa Barbara,22750
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7,13,1.47,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7,15,2.28,Darryl York,Vandenberg Space Force Base,23003
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7,19,0.56,Teresa Romero,Native Coast Action Network,21630
Priority Conservation Areas,Watersheds,7,36.84210526,17,04,1.06,Mark Reynolds,The Nature Conservancy,17789
Priority Conservation Areas,Watersheds,7,36.84210526,17,06,0.8,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Priority Conservation Areas,Watersheds,7,36.84210526,17,07,2.97,Moe Gomez,South Coast Habitat Restoration,35299
Priority Conservation Areas,Watersheds,7,36.84210526,17,10,1.68,Steph Wald,Creeklands Conservation,28115
Priority Conservation Areas,Watersheds,7,36.84210526,17,11,1.56,Larissa Clark,California Department of Transportation,22226
Priority Conservation Areas,Watersheds,7,36.84210526,17,12,1.39,Devin Best,San Luis Obispo Resource Conservation District,29234
Priority Conservation Areas,Watersheds,7,36.84210526,17,17,0.15,Brian Trautwein,Environmental Defense Center,26394
